country,size_km2,population,pop_km2
Mexico,"1,967,138","126,577,691",64
Tajikistan,"143,100","9,127,000",64
Bulgaria,"111,002","7,000,039",63
Ecuador,"276,841","17,477,004",63
Tanzania,"945,087","55,890,747",59
Panama,"74,177","4,158,783",56
Georgia,"69,700","3,729,600",54
Nicaragua,"121,428","6,393,824",53
Cameroon,"466,050","24,348,251",52
Iran,"1,648,195","83,412,910",51
Norfolk Island (Australia),35,"1,748",50
Guinea,"245,857","12,218,357",50
Afghanistan,"645,807","31,575,018",49
Montserrat (UK),102,"4,922",48
Fiji,"18,333","884,887",48
South Africa,"1,220,813","58,775,022",48
Equatorial Guinea,"28,051","1,358,276",48
Djibouti,"23,000","1,078,373",47
Belarus,"207,600","9,397,800",46
Liberia,"97,036","4,475,353",46
Montenegro,"13,812","622,182",45
Madagascar,"587,041","25,680,342",44
Guinea-Bissau,"36,125","1,604,528",44
Lithuania,"65,300","2,793,466",43
Colombia,"1,141,748","46,265,800",41
Palau,444,"17,900",40
Cocos (Keeling) Islands (Australia),14,544,39
Zimbabwe,"390,757","15,159,624",39
Democratic Republic of the Congo,"2,345,095","86,790,567",37
Mozambique,"799,380","28,571,310",36
Venezuela,"916,445","32,219,521",35
Faroe Islands (Denmark),"1,399","50,844",34
United States,"9,833,517","329,617,910",34
Kyrgyzstan,"199,945","6,309,300",32
Latvia,"64,562","1,910,400",30
Estonia,"45,339","1,324,820",29
Eritrea,"121,100","3,497,117",29
Bahamas,"13,940","386,870",28
Abkhazia[note 6],"8,660","243,206",28
Laos,"236,800","6,492,400",27
Saint Pierre and Miquelon (France),242,"6,081",25
Peru,"1,285,216","32,162,184",25
Vanuatu,"12,281","304,500",25
Brazil,"8,515,767","211,469,103",25
Somalia,"637,657","15,181,925",24
Solomon Islands,"28,370","682,500",24
Angola,"1,246,700","29,250,009",23
Chile,"756,096","17,373,831",23
Sweden,"450,295","10,379,205",23
Zambia,"752,612","16,405,229",22
Sudan,"1,839,542","40,782,742",22
Bhutan,"38,394","825,768",22
Uruguay[note 7][clarification needed],"176,215","3,518,553",20
South Sudan,"644,329","12,778,250",20
Somaliland[note 8],"176,120","3,508,180",20
Åland Islands (Finland),"1,552","29,789",19
Niger,"1,186,408","22,314,743",19
Papua New Guinea,"462,840","8,935,000",19
New Zealand,"270,467","4,982,574",18
Algeria,"2,381,741","43,000,000",18
Paraguay,"406,752","7,052,983",17
Belize,"22,965","398,050",17
Norway,"323,808","5,367,580",17
Finland,"338,424","5,527,405",16
Argentina,"2,780,400","44,938,712",16
Saudi Arabia,"2,149,690","34,218,169",16
Republic of the Congo,"342,000","5,399,895",16
Mali,"1,248,574","19,107,706",15
Christmas Island (Australia),137,"2,072",15
New Caledonia (France),"18,575","258,958",14
Oman,"309,500","4,183,841",14
" Saint Helena, Ascension and Tristan da Cunha (UK)",394,"5,633",14
South Ossetia[note 9],"3,900","53,532",14
Artsakh[note 10],"11,458","150,932",13
Turkmenistan,"491,210","5,851,466",12
Chad,"1,284,000","15,353,184",12
Bolivia,"1,098,581","11,307,314",10
Russia[note 11],"17,125,242","146,877,088",9
Gabon,"267,667","2,067,561",8
Central African Republic,"622,436","4,737,423",8
Kazakhstan,"2,724,900","18,592,700",7
Niue (NZ),261,"1,613",6
Botswana,"581,730","2,302,878",4
Mauritania,"1,030,700","3,984,233",4
Canada,"9,984,670","38,014,184",4
Libya,"1,770,060","6,470,956",3.7
Guyana,"214,999","782,225",3.6
Suriname,"163,820","568,301",3.5
Iceland,"102,775","360,390",3.5
Australia,"7,692,024","25,696,194",3
Namibia,"825,118","2,413,643",2.9
French Guiana (France),"86,504","244,118",2.8
Western Sahara[note 12],"252,120","567,421",2.3
Mongolia,"1,564,100","3,000,000",1.9
Pitcairn Islands (UK),47.3,56,1.2
Falkland Islands (UK),"12,173","2,563",0.21
Svalbard and Jan Mayen (Norway),"61,399","2,655",0.04
Greenland (Denmark),"2,166,000","55,877",0.03
